family,id,name,cost,baseIncome,synergyTypes,upgradePath,maxLevel,reputationPerTurn,synergyCoinBonus,synergyRepBonus,description,tier,trigger,effect,target,targetSynergy,coinDelta,reputationDelta,duration,effectType,multiplier,targetBusiness,incomeBonus,synergyRangeBonus,requiredLevel,reputationBonus,newDisplayName,ongoingCost,handSlotsAdded,refreshCostDiscount,actionsPerTurn,peekOncePerTurn,art_notes
business,biz-pharmacy,Pharmacy,700,520,Health,,0,10,,,Provides essential medications. Gains {SYNERGY_RATE} of base income per adjacent Health business.,8,,,,,,,,,,,,,,,,175,,,,,A white pill bottle with an orange label and a red cross on the cap.
business,biz-juice-bar,Juice Bar,500,350,Food|Health,,1,8,,,Fresh juices and smoothies. Bridges Food and Health synergies.,5,,,,,,,,,,,,,,,,125,,,,,A tall glass of orange juice with a paper umbrella and a slice of orange on the rim.
business,biz-yoga-studio,Yoga Studio,800,580,Culture|Health,,1,12,,,Calm practice space for mind and body. Bridges Culture and Health synergies.,9,,,,,,,,,,,,,,,,200,,,,,A person in a seated lotus pose with a small green candle at their feet.
business,biz-physio,Physiotherapy,1000,700,Health|Service,,0,15,,,Recovery and rehabilitation care. Bridges Health and Service synergies. Provides +10 reputation per turn.,11,,,,,,,,,,,,,,,,250,,,,,A grey foam roller with a red resistance band looped around its ends.
business,biz-tailor,Tailor,500,375,Service,,1,8,,,Custom tailoring and repairs. Gains {SYNERGY_RATE} of base income per adjacent Service business.,6,,,,,,,,,,,,,,,,125,,,,,A silver tailor's thimble with a needle threaded through its eye.
business,biz-gym,Gym,800,580,Health,,1,12,,,Fitness training for the whole street. Gains {SYNERGY_RATE} of base income per adjacent Health business.,9,,,,,,,,,,,,,,,,200,,,,,A black hexagonal dumbbell standing upright on its end with a textured rubber grip band around its middle.
business,biz-dentist,Dentist,1200,870,Health,,1,20,,,Smiles for the whole street. Gains {SYNERGY_RATE} of base income per adjacent Health business.,11,,,,,,,,,,,,,,,,300,,,,,A white tooth with a small silver mirror resting against its side.
business,biz-toy-store,Toy Store,500,375,Commerce,,1,8,,,Toys and games for young shoppers. Gains {SYNERGY_RATE} of base income per adjacent Commerce business.,6,,,,,,,,,,,,,,,,125,,,,,A red-and-white striped pinwheel with a golden center knob and five triangular blades.
business,biz-music-store,Music Store,800,580,Entertainment,,0,12,,,Records and instruments for every taste. Gains {SYNERGY_RATE} of base income per adjacent Entertainment business.,10,,,,,,,,,,,,,,,,200,,,,,A silver treble clef with two eighth notes floating to the right.
business,biz-delicatessen,Delicatessen,500,375,Food,,1,8,,,Fine meats and cheeses. Gains {SYNERGY_RATE} of base income per adjacent Food business.,7,,,,,,,,,,,,,,,,125,,,,,A wooden cutting board with a folded slice of cured ham and a wedge of cheese.
business,biz-craft-shop,Craft Shop,500,375,Culture,,0,8,,,Handmade goods by local makers. Gains {SYNERGY_RATE} of base income per adjacent Culture business.,7,,,,,,,,,,,,,,,,125,,,,,A pair of crossed wooden knitting needles with a strand of red yarn.
business,biz-hotel,Grand Hotel,1600,1210,Service,,0,30,,,Premier lodging on Main Street. Gains {SYNERGY_RATE} of base income per adjacent Service business. Provides +10 reputation per turn.,12,,,,,,,,,,,,,,,,400,,,,,A small brown doorknob with a rectangular brass hotel key card beside it.
business,biz-teahouse,Teahouse,700,495,Food|Culture,,1,10,,,Loose-leaf teas and quiet corners. Bridges Food and Culture synergies.,7,,,,,,,,,,,,,,,,175,,,,,A round glass teapot with a wooden handle and a tea bag tag hanging over the rim.
community-space,cs-park,Park,300,0,Entertainment,Park,1,,,,Offers leisure space. Gains {SYNERGY_RATE} of base income per adjacent Entertainment business or community space.,1,,,,,,,,,,,,,,,,,,,,,A green park bench with an open newspaper lying on its seat.
community-space,cs-library,Library,700,0,Culture,Library,1,10,,,A quiet community space for reading and learning. Costs 25 coins per turn to run and provides +10 reputation per turn.,1,,,,,,,,,,,,,,,,25,,,,,A tall bookshelf stacked with three differently-coloured books and a brass reading lamp.
community-space,cs-playground,Playground,400,0,Entertainment,,1,5,,,A safe place for kids to play. Provides +5 reputation per turn. Gains {SYNERGY_RATE} of base income per adjacent Entertainment business or community space.,3,,,,,,,,,,,,,,,,,,,,,A yellow metal playground slide with a small ladder at the top.
community-space,cs-community-garden,Community Garden,500,0,Food,,1,10,,,A shared garden plot for the neighbourhood. Costs 10 coins per turn to run and provides +10 reputation per turn.,4,,,,,,,,,,,,,,,,10,,,,,A wooden planter box with a green sprout emerging from dark soil.
community-space,cs-fountain,Town Fountain,500,0,Culture,,1,10,,,A gathering spot around the fountain. Provides +10 reputation per turn. Gains {SYNERGY_RATE} of base income per adjacent Culture business or community space.,5,,,,,,,,,,,,,,,,,,,,,A stone basin with three water jets spraying upward in an arc.
community-space,cs-health-kiosk,Health Kiosk,600,0,Health,,1,15,,,A walk-up health advice kiosk. Costs 15 coins per turn to run and provides +15 reputation per turn.,8,,,,,,,,,,,,,,,,15,,,,,A small green kiosk booth with a red cross on the window.
community-space,cs-shelter,Community Shelter,600,0,Service,,0,15,,,A warm shelter for those in need. Provides +15 reputation per turn. Gains {SYNERGY_RATE} of base income per adjacent Service business or community space.,3,,,,,,,,,,,,,,,,,,,,,A brown wooden house with a triangular roof and a warm yellow window.
community-space,cs-public-art,Public Art,800,0,Culture|Entertainment,,0,20,,,A vibrant public sculpture. Costs 25 coins per turn to run and provides +20 reputation per turn. Bridges Culture and Entertainment community spaces.,12,,,,,,,,,,,,,,,,25,,,,,A tall grey stone pedestal with a bronze abstract sculpture shaped like a spiral.
event,evt-festival,Local Festival,300,,,,,,,,,1,Investment,+2 coins to all Culture businesses and +1 reputation.,SpecificSynergy,Culture,200,100,,,,,,,,,,,,,,,A string of triangular bunting flags stretched between two wooden poles.
event,evt-rainy,Rainy Day,0,,,,,,,,,1,Incident,-1 coin to all Food businesses this turn.,SpecificSynergy,Food,-100,0,,,,,,,,,,,,,,,A glass umbrella with raindrops beading on its surface and dark grey clouds above.
event,evt-tax,Tax Audit,0,,,,,,,,,1,Incident,Lose 3 coins.,All,,-300,0,,,,,,,,,,,,,,,A rolled document tied with a red ribbon and stamped with a red TAX seal.
event,evt-award,Community Award,0,,,,,,,,,1,Incident,Gain 2 reputation from community recognition.,All,,0,200,,,,,,,,,,,,,,,A golden trophy cup with two handles on a rectangular pedestal.
event,evt-inspection,Health Inspection,0,,,,,,,,,2,Incident,-2 coins per Food business and -1 reputation.,SpecificSynergy,Food,-200,-100,,,,,,,,,,,,,,,A clipboard with a red stamp and a checklist with one unchecked box.
event,evt-grand-opening,Grand Opening Sale,300,,,,,,,,,2,Investment,+3 coins from a Commerce promotion.,SpecificSynergy,Commerce,450,0,,,,,,,,,,,,,,,A large red ribbon stretched across a doorway with gold scissors to the right.
event,evt-wellness-fair,Wellness Fair,300,,,,,,,,,3,Investment,+2 coins per Health business and +1 reputation.,SpecificSynergy,Health,200,150,,,,,,,,,,,,,,,A folded map with a green cross marked with a red circle and a compass rose beside it.
event,evt-block-party,Block Party,500,,,,,,,,,3,Investment,+2 coins per Entertainment business and +2 reputation.,SpecificSynergy,Entertainment,250,350,,,,,,,,,,,,,,,A street blocked by a barricade of orange traffic cones and a ROAD CLOSED sign.
event,evt-charity-drive,Charity Drive,900,,,,,,,,,5,Investment,+3 reputation from generous donations.,All,,0,1350,,,,,,,,,,,,,,,A red donation box with a white envelope sliding into its slot.
event,evt-power-outage,Power Outage,0,,,,,,,,,8,Incident,-2 coins from lost business during the outage.,All,,-200,0,,,,,,,,,,,,,,,A black light bulb with a broken filament and dark cracks around its base.
event,evt-shoplifting,Shoplifting Spree,0,,,,,,,,,10,Incident,-2 coins per Commerce business from theft losses.,SpecificSynergy,Commerce,-200,0,,,,,,,,,,,,,,,A pair of black-gloved hands reaching into an open black wallet.
event,evt-noise-complaint,Noise Complaint,0,,,,,,,,,2,Incident,-1 coin per Entertainment business and -1 reputation.,SpecificSynergy,Entertainment,-100,-100,,,,,,,,,,,,,,,A black megaphone with jagged red sound waves radiating outward toward a barred window.
event,evt-pipe-burst,Pipe Burst,0,,,,,,,,,9,Incident,-2 coins per Service business from water damage.,SpecificSynergy,Service,-200,0,,,,,,,,,,,,,,,A cracked metal pipe with blue water spraying diagonally from the break.
event,evt-food-critic,Food Critic Visit,0,,,,,,,,,6,Incident,+1 coin per Food business and +1 reputation from a glowing review.,SpecificSynergy,Food,100,100,,,,,,,,,,,,,,,A black chef hat perched on a silver fork and knife crossed below.
event,evt-construction,Road Construction,0,,,,,,,,,6,Incident,-1 coin to all businesses from reduced foot traffic.,All,,-100,0,,,,,,,,,,,,,,,A yellow road work sign with a black excavator silhouette on a white background.
event,evt-viral-review,Viral Review,0,,,,,,,,,10,Incident,+2 coins and +1 reputation from sudden online fame.,All,,200,100,,,,,,,,,,,,,,,A smartphone showing a red notification badge with the number 99+.
event,evt-vandalism,Vandalism,0,,,,,,,,,11,Incident,-1 coin to all businesses and -1 reputation.,All,,-100,-100,,,,,,,,,,,,,,,A spray-painted X in black on a brick wall with drips running down.
event,evt-flu-outbreak,Flu Outbreak,100,,,,,,,,,9,Incident,All businesses generate 80% income for 5 turns. Duration reduced by Clinic/Medical Center.,All,,0,0,5,income-multiplier,0.8,,,,,,,,,,,,A white tissue with a red cross and two small green germ icons beside it.
event,evt-recession,Economic Recession,100,,,,,,,,,9,Incident,All businesses generate 70% income for 4 turns. Duration reduced by Clinic/Medical Center.,All,,0,0,4,income-multiplier,0.7,,,,,,,,,,,,A black bar chart with three descending bars and a red downward arrow.
event,evt-harvest-festival,Harvest Festival,900,,,,,,,,,11,Investment,+2 coins to each Food business and +1 reputation from a bountiful harvest celebration.,SpecificSynergy,Food,600,450,,,,,,,,,,,,,,,A wooden crate overflowing with orange pumpkins and red apples.
event,evt-health-campaign,Health Campaign,500,,,,,,,,,4,Investment,+1 coin to each Health business and +1 reputation from a wellness initiative.,SpecificSynergy,Health,150,300,,,,,,,,,,,,,,,A white megaphone with a green heart symbol on its side.
event,evt-street-performer,Street Performer,500,,,,,,,,,4,Investment,+2 coins to each Entertainment business from a popular busker drawing crowds.,SpecificSynergy,Entertainment,500,0,,,,,,,,,,,,,,,A brown acoustic guitar leaning against a wooden music stand.
event,evt-bulk-purchase,Bulk Purchase,900,,,,,,,,,11,Investment,+1 coin to each Commerce business and +2 reputation from collective buying power.,SpecificSynergy,Commerce,300,950,,,,,,,,,,,,,,,A stack of three brown cardboard boxes tied with red twine.
event,evt-book-fair,Book Fair,900,,,,,,,,,11,Investment,+1 coin to each Culture business and +2 reputation from literary events.,SpecificSynergy,Culture,300,950,,,,,,,,,,,,,,,A pile of four books in different colours with a gold bookmark sticking out of the top.
event,evt-volunteer-day,Volunteer Day,1400,,,,,,,,,11,Investment,+1 coin to each Service business and +2 reputation from community volunteering.,SpecificSynergy,Service,700,1400,,,,,,,,,,,,,,,A pair of hands clasped together with a green ribbon wrapped around the wrists.
event,evt-community-garden,Community Garden,700,,,,,,,,,2,Investment,+1 coin and +1 reputation from a new community garden project.,All,,350,450,,,,,,,,,,,,,,,A wheelbarrow filled with dark soil and a green seedling.
event,evt-festival-season,Festival Season,700,,,,,,,,,12,Investment,+3 coins from increased tourist spending during festival season.,All,,550,0,,,,,,,,,,,,,,,"A garland of round paper lanterns in red, gold, and green."
event,evt-protest,Protest,100,,,,,,,,,6,Incident,-2 coins from reduced foot traffic and -1 reputation from negative publicity.,All,,-200,-100,,,,,,,,,,,,,,,A raised fist holding a red sign on a wooden stick.
event,evt-supply-chain,Supply Chain Delay,100,,,,,,,,,12,Incident,-2 coins per Commerce business from delayed inventory.,SpecificSynergy,Commerce,-200,0,,,,,,,,,,,,,,,Three broken grey chain links lying apart on a wooden surface.
event,evt-power-surge,Power Surge,100,,,,,,,,,6,Incident,-2 coins per Service business from equipment damage.,SpecificSynergy,Service,-200,0,,,,,,,,,,,,,,,A yellow lightning bolt striking a black electrical plug with sparks scattering at the contact point.
event,evt-strike,Strike,100,,,,,,,,,12,Incident,-2 coins from work stoppages affecting the street.,All,,-200,0,,,,,,,,,,,,,,,A red picket sign with a black outline of a crossed-out worker.
event,evt-heatwave,Heatwave,100,,,,,,,,,9,Incident,-1 coin per Food business from spoiled goods and -1 reputation.,SpecificSynergy,Food,-100,-100,,,,,,,,,,,,,,,A thermometer with a red mercury line rising above a DANGER zone.
event,evt-pest-infestation,Pest Infestation,100,,,,,,,,,10,Incident,-2 coins per Food business from health-related closures.,SpecificSynergy,Food,-200,0,,,,,,,,,,,,,,,A black silhouette of a beetle with six legs and two antennae.
event,evt-slow-season,Slow Season,100,,,,,,,,,10,Incident,-1 coin to all businesses from reduced customer traffic.,All,,-100,0,,,,,,,,,,,,,,,An hourglass with sand nearly depleted at the bottom and a slow trickle above.
event,evt-good-press,Good Press,100,,,,,,,,,3,Incident,+1 reputation from a favourable news article about Main Street.,All,,0,100,,,,,,,,,,,,,,,A rolled newspaper with a bold headline banner and a black quill pen.
event,evt-tourist-bus,Tourist Bus,100,,,,,,,,,4,Incident,+2 coins per Entertainment business from a tour bus dropping visitors.,SpecificSynergy,Entertainment,200,0,,,,,,,,,,,,,,,A yellow double-decker bus viewed from the side with a red roof.
event,evt-cultural-grant,Cultural Grant,100,,,,,,,,,8,Incident,+1 coin per Culture business and +1 reputation from a government arts grant.,SpecificSynergy,Culture,100,100,,,,,,,,,,,,,,,A gold coin stamped with a blue music note and a red star.
event,evt-health-carnival,Health Carnival,500,,,,,,,,A street-wide health carnival. +2 coins to all Health businesses and +1 reputation.,7,Investment,+2 coins to all Health businesses and +1 reputation.,SpecificSynergy,Health,200,100,,,,,,,,,,,,,,,A red-and-white striped carnival tent with a small green cross on its flap.
event,evt-food-tasting,Food Tasting Tour,500,,,,,,,,A guided tasting tour of the street. +2 coins to all Food businesses and +1 reputation.,7,Investment,+2 coins to all Food businesses and +1 reputation.,SpecificSynergy,Food,200,100,,,,,,,,,,,,,,,A silver tasting spoon with a drop of red sauce on its tip.
event,evt-art-sale,Art Sale,500,,,,,,,,A street-wide art sale. +2 coins to all Culture businesses and +1 reputation.,7,Investment,+2 coins to all Culture businesses and +1 reputation.,SpecificSynergy,Culture,200,100,,,,,,,,,,,,,,,A small canvas easel displaying a miniature painting of a blue landscape.
event,evt-shopping-spree,Shopping Spree,700,,,,,,,,A city-wide shopping spree. +2.5 coins to all Commerce businesses.,8,Investment,+2.5 coins to all Commerce businesses.,SpecificSynergy,Commerce,250,0,,,,,,,,,,,,,,,"Three shopping bags — red, blue, and yellow — with handles looped together."
event,evt-summer-fest,Summer Fest,700,,,,,,,,A lively summer festival. +2 coins to all Entertainment businesses and +1 reputation.,8,Investment,+2 coins to all Entertainment businesses and +1 reputation.,SpecificSynergy,Entertainment,200,100,,,,,,,,,,,,,,,A yellow sun with radiating rays and a pair of blue sunglasses resting on its center.
event,evt-service-week,Service Week,700,,,,,,,,A week celebrating local services. +2 coins to all Service businesses and +1 reputation.,8,Investment,+2 coins to all Service businesses and +1 reputation.,SpecificSynergy,Service,200,100,,,,,,,,,,,,,,,A silver badge with a green ribbon and a small gear icon in the center.
event,evt-tourist-season,Tourist Season,1000,,,,,,,,A record tourist season. All businesses generate 115% income for 3 turns.,12,Investment,All businesses generate 115% income for 3 turns.,All,,0,0,3,income-multiplier,1.15,,,,,,,,,,,,A red compass rose with a yellow star at its center and an arrow pointing up.
event,evt-community-renovation,Community Renovation,1000,,,,,,,,A street-wide renovation project. All reputation income boosted to 120% for 4 turns.,12,Investment,All reputation income boosted to 120% for 4 turns.,All,,0,0,4,rep-multiplier,1.2,,,,,,,,,,,,A yellow hard hat resting on a stack of three paint cans.
event,evt-graffiti,Graffiti,0,,,,,,,,Vandals strike overnight. -1 coin to all businesses and -1 reputation.,2,Incident,-1 coin to all businesses and -1 reputation.,All,,-100,-100,,,,,,,,,,,,,,,A chaotic black spray-paint tag scrawled across a brick wall with paint drips running down.
event,evt-graffiti-art,Graffiti Art,0,,,,,,,,Artists transform the street with murals. +1 reputation.,3,Incident,+1 reputation.,All,,0,100,,,,,,,,,,,,,,,A colorful spray-paint mural of a smiling sun and green trees on a brick wall.
event,evt-water-main,Water Main Break,0,,,,,,,,A burst main floods the block. -2 coins per Service business.,4,Incident,-2 coins per Service business.,SpecificSynergy,Service,-200,0,,,,,,,,,,,,,,,A burst pipe with water gushing upward and yellow caution tape wrapped around it.
event,evt-parking-tickets,Parking Enforcement,0,,,,,,,,A ticketing blitz hits the street. -1 coin per Commerce business.,4,Incident,-1 coin per Commerce business.,SpecificSynergy,Commerce,-100,0,,,,,,,,,,,,,,,A yellow parking ticket receipt with a red TICKET stamp.
event,evt-labor-shortage,Labor Shortage,0,,,,,,,,A labour shortage slows the street. All businesses generate 90% income for 3 turns.,7,Incident,All businesses generate 90% income for 3 turns.,All,,0,0,3,income-multiplier,0.9,,,,,,,,,,,,A pair of empty work gloves hanging on a hook with a question mark in the background.
event,evt-movie-premiere,Movie Premiere,0,,,,,,,,A blockbuster premiere draws crowds. +1 coin per Entertainment business and +1 reputation.,5,Incident,+1 coin per Entertainment business and +1 reputation.,SpecificSynergy,Entertainment,100,100,,,,,,,,,,,,,,,A red film reel with a gold spotlight shining onto its center.
event,evt-health-screening,Free Health Screening,0,,,,,,,,A free screening day boosts well-being. +1 reputation.,5,Incident,+1 reputation.,SpecificSynergy,Health,0,100,,,,,,,,,,,,,,,A white medical clipboard with a green checkmark on the form.
event,evt-farmers-market,Farmers Market Day,0,,,,,,,,A bustling farmers market. +1 coin per Food business and +1 reputation.,5,Incident,+1 coin per Food business and +1 reputation.,SpecificSynergy,Food,100,100,,,,,,,,,,,,,,,A wooden crate filled with red tomatoes and green leafy vegetables.
event,evt-library-reading,Children's Story Hour,0,,,,,,,,A beloved story hour warms the street. +1 reputation.,3,Incident,+1 reputation from a beloved story hour.,SpecificSynergy,Culture,0,100,,,,,,,,,,,,,,,"An open picture book with an illustration of a cat, a small reading lamp beside it."
event,evt-street-cleaning,Street Cleaning,0,,,,,,,,"The street gets a thorough clean. Nothing changes, but the street feels fresher.",3,Incident,No effect.,All,,0,0,,,,,,,,,,,,,,,A green broom with straw bristles leaning against a brown dustpan.
event,evt-neighborhood-watch,Neighborhood Watch,0,,,,,,,,Residents look out for each other. -1 coin but +1 reputation.,5,Incident,-1 coin but +1 reputation.,All,,-100,100,,,,,,,,,,,,,,,An open eye with a yellow iris surrounded by a green border.
upgrade,upg-patisserie,Upgrade to Patisserie,300,,,,,,,,"Turns a Bakery into a Patisserie, increasing income and synergy range.",1,,,,,,,,,,Bakery,100,1,0,,Patisserie,,,,,,A golden croissant with visible flaky layers and a dusting of powdered sugar.
upgrade,upg-bistro,Upgrade to Bistro,300,,,,,,,,Turns a Diner into a Bistro with higher foot-traffic.,1,,,,,,,,,,Diner,100,1,0,,Bistro,,,,,,"A folded white napkin tied with a red ribbon, placed beside a wine glass."
upgrade,upg-readers-cafe,Upgrade to Reader's Café,300,,,,,,,,"Transforms the Bookshop into a Reader's Café, blending books with café culture for a reputation boost.",1,,,,,,,,,,Bookshop,100,0,0,10,Reader's Café,,,,,,An open book with a steaming coffee cup sitting on its pages.
upgrade,upg-garden,Upgrade to Garden,300,,,,,,,,Expands the Park into a Garden with extended cultural reach.,1,,,,,,,,,,Park,100,1,0,,Garden,,,,,,A small garden archway covered in climbing green ivy with a wooden trellis at its base.
upgrade,upg-home-improvement,Upgrade to Home Improvement,700,,,,,,,,Transforms the Hardware Store into a Home Improvement center.,3,,,,,,,,,,Hardware Store,200,1,0,100,Home Improvement,,,,,,A yellow house-shaped icon with a wrench and screwdriver crossed behind it.
upgrade,upg-vintage-shop,Upgrade to Vintage Shop,300,,,,,,,,Rebrands the Pawn Shop as a trendy Vintage Shop.,3,,,,,,,,,,Pawn Shop,100,0,0,,Vintage Shop,,,,,,A brass key with an ornate bow and a 1899 stamp on its shaft.
upgrade,upg-designer-store,Upgrade to Designer Store,700,,,,,,,,Elevates the Boutique to a Designer Store with premium clientele.,2,,,,,,,,,,Boutique,200,1,0,100,Designer Store,,,,,,A silver D monogram on a black diamond-shaped plaque with a gold filigree border around its edge.
upgrade,upg-dry-cleaners,Upgrade to Dry Cleaners,300,,,,,,,,Upgrades the Laundromat to a full-service Dry Cleaners.,3,,,,,,,,,,Laundromat,100,0,0,,Dry Cleaners,,,,,,A hanger with a white garment bag and a blue DRY CLEAN tag.
upgrade,upg-salon,Upgrade to Salon,900,,,,,,,,Expands the Barbershop into a modern Salon.,4,,,,,,,,,,Barbershop,300,1,0,100,Salon,,,,,,A silver hairdryer with a curler attachment and a green ribbon.
upgrade,upg-gaming-lounge,Upgrade to Gaming Lounge,700,,,,,,,,Transforms the Arcade into a state-of-the-art Gaming Lounge.,3,,,,,,,,,,Arcade,200,1,0,100,Gaming Lounge,,,,,,A black video-game controller with two joysticks and a screen reflection.
upgrade,upg-imax,Upgrade to IMAX Theater,700,,,,,,,,Upgrades the Cinema to an IMAX Theater with premium experience.,8,,,,,,,,,,Cinema,300,1,0,100,IMAX Theater,,,,,,A giant silver screen with a gold IMAX plaque beside it.
upgrade,upg-roastery,Upgrade to Roastery,900,,,,,,,,Turns the Cafe into a specialty Roastery with artisan appeal.,8,,,,,,,,,,Cafe,300,1,0,100,Roastery,,,,,,A brown paper bag with steam rising and a green coffee bean icon.
upgrade,upg-gourmet-truck,Upgrade to Gourmet Truck,300,,,,,,,,Elevates the Food Truck with gourmet offerings.,4,,,,,,,,,,Food Truck,150,0,0,,Gourmet Truck,,,,,,A silver chef hat with a steam curl and a fork resting on top.
upgrade,upg-museum,Upgrade to Museum,700,,,,,,,,Expands the Art Gallery into a full Museum.,12,,,,,,,,,,Art Gallery,200,1,0,100,Museum,,,,,,A grand marble building facade with four white columns and a triangular pediment.
upgrade,upg-resort-spa,Upgrade to Resort Spa,900,,,,,,,,Transforms the Day Spa into a luxurious Resort Spa.,11,,,,,,,,,,Day Spa,350,1,0,100,Resort Spa,,,,,,A folded white towel with a red lotus flower and a smooth grey stone on top.
upgrade,upg-garden-center,Upgrade to Garden Center,700,,,,,,,,Expands the Florist into a full Garden Center.,6,,,,,,,,,,Florist,200,1,0,100,Garden Center,,,,,,A terracotta pot with a green succulent and a small watering can beside it.
upgrade,upg-medical-center,Upgrade to Medical Center,300,,,,,,,,Upgrades the Clinic to a comprehensive Medical Center. Provides +10 reputation per turn.,10,,,,,,,,,,Clinic,0,1,0,10,Medical Center,,,,,,A large red cross with a white medical building behind it.
upgrade,upg-private-medical-center,Upgrade to Private Medical Center,900,,,,,,,,Expands the Private Clinic into a high-revenue Private Medical Center.,12,,,,,,,,,,Private Clinic,450,1,0,100,Private Medical Center,,,,,,A golden cross with a blue P initial inside a shield shape.
upgrade,upg-bread-factory,Upgrade to Bread Factory,700,,,,,,,,"Scales the Bakery into a high-volume Bread Factory. More income, no range boost.",2,,,,,,,,,,Bakery,500,1,0,100,Bread Factory,,,,,,A conveyor belt with three loaves of bread moving along it.
upgrade,upg-fast-food,Upgrade to Fast Food,700,,,,,,,,"Converts the Diner to a Fast Food outlet. Higher income, smaller synergy radius.",2,,,,,,,,,,Diner,500,1,0,100,Fast Food,,,,,,A red paper bag with a golden arch symbol on its side.
